accession	taxid
AMYT01000015	1234409
ANFJ01000002	643473
ANNU01000014	1124780
AOBV01000022	1261130
AONI01000015	1123360
AP006500	280699
AP006840	292459
AP006878	69014
AP008230	138119
AP008232	343509
AP008955	358681
AP009152	378753
AP009153	379066
AP009384	438753
AP009389	370438
AP010656	511995
AP011529	639282
AP011533	652620
AP012027	650150
AP012029	926569
AP012035	926570
AP012044	693746
AP012050	698758
AP012051	511051
AP012057	1313172
AP012159	634177
AP012200	940190
AP012202	1029718
AP012203	1030843
AP012211	502558
AP012276	1080228
AP012304	748247
AP012319	512565
AP012337	926550
AP012338	1142394
AP013044	1307832
AP013066	1163617
AP014584	38504
AP017373	1363
AP017381	34062
AP017898	1914525
AP018045	38294
AP018150	1553431
AP018166	272123
AP018233	1973485
AP018317	1973482
APCU01000223	1262132
APJX01000002	1286635
APJY01000001	1294123
APLF01000003	1189619
APMI01000363	527639
AQOB01000017	1203606
AQRO01000115	1047066
AQRR01000038	1104604
AQRS01000026	1104576
AQSA01000023	1007123
AQSF01000009	1104610
AQSL01000078	910047
AQSN01000027	1104607
AQSZ01000059	1047007
AQTV01000144	857041
AQVF01000003	1130299
AQXG01000022	1121930
AQXH01000005	1121104
AQXI01000001	797209
AQXM01000028	1120917
AQXT01000002	1121949
AQXU01000006	1122158
AQXW01000002	1121385
AQYM01000016	1052801
AQZN01000011	1050202
AQZS01000007	926561
AQZZ01000002	1069080
ARAE01000002	1050201
ARAX01000069	1123244
ARBC01000182	765909
ARBI01000033	1120948
ARBL01000033	1121272
ARCL01000068	1123400
ARDO01000013	1122967
AREM01000088	1122619
ARFB01000021	1123248
ARFP01000003	1120978
ARFW01000012	1120961
ARIX01000012	1121921
ARKF01000015	1265507
ARPG01000002	1089547
ARPL01000017	1318599
ARQD01000002	1306947
ARWA01000001	876269
ARWB01000001	1101190
ARWE01000001	1121918
ASAI01000076	1269942
ASKW01000012	1046996
ASKX01000004	1047085
ASMB01000010	910049
ASMM01000001	1104574
ASMN01000059	1052817
ASMO01000004	1130284
ASMP01000002	743729
ASMQ01000007	743730
ASMR01000001	1104575
ASMS01000005	743731
ASMU01000034	1130336
ASND01000028	1130343
ASNV01000007	1104620
ASNX01000003	699257
ASNY01000018	699261
ASOB01000010	1046991
ASOC01000103	699264
ASOY01000050	1104603
ASPI01000040	699266
ASPJ01000020	939844
ASPK01000003	1104571
ASRE01017410	1987568
ASRH01000005	1326980
ASZK01000001	1047055
ATBP01000008	890399
ATDT01000040	566551
ATSX01000009	1208583
ATTE01000001	998674
ATTH01000001	1089550
ATUF01000003	1123488
ATUP01000002	1122613
ATUT01000005	1123313
ATVD01000003	1121015
ATVH01000016	570952
ATVI01000001	1122603
ATVN01000030	1123027
ATVO01000004	1123240
ATWH01000032	1121924
ATXG01000026	1120960
ATXH01000052	1123371
ATXI01000006	1123373
ATXK01000033	1121027
ATXP01000006	1122602
ATXT01000006	1121952
ATXW01000002	880526
ATXY01000007	929703
ATXZ01000014	935948
ATYX01000004	1111738
AUAA01000078	1121870
AUAC01000004	1121948
AUAF01000218	1123509
AUAT01000051	1121871
AUAU01000033	1121920
AUAX01000066	1121946
AUBC01000058	1123229
AUBD01000011	1123253
AUCM01000052	1121271
AUCR01000008	422296
AUCU01000039	1121394
AUHJ01000047	1121937
AUHU01000016	1122194
AUIJ01000005	1123247
AUKJ01000022	1224744
AULD01000008	1120958
AUNW02000026	1094954
AVSQ01000019	1353246
AWGA01000005	1387197
AWNT01000010	1383026
AWNU01000023	1379385
AWNX01000092	1379399
AWNZ01000028	1383060
AWOC01000023	1379386
AWOG01000036	1379390
AWQV01000929	1380770
AWSN01000001	1394712
AWZR01000002	935863
AXCJ01000001	1401685
AXVX01000020	939714
AY005448	135006
AY005463	999552
AY007296	136992
AY028398	2426
AY028926	157228
AY039817	166954
AY046268	45285
AY049713	340101
AY050178	172822
AY056830	177413
AY117417	48483
AY117418	143017
AY117420	136089
AY136131	207949
AY149896	218848
AY183357	218823
AY188352	1304
AY189129	1276246
AY195836	391587
AY207502	226010
AY218567	77133
AY228479	225453
AY251644	4896
AY252113	56
AY253863	182640
AY271622	228955
AY305326	330153
AY326462	1261
AY331143	697281
AY345389	239803
AY387670	248039
AY388649	497964
AY462042	256035
AY508462	5874
AY527274	1123237
AY538171	264641
AY538749	264736
AY546685	61392
AY548776	265470
AY550102	33941
AY559412	77133
AY594264	273527
AY596469	194702
AY643537	280483
AY649762	293089
AY657007	285111
AY671975	284577
AY673993	304766
AY682384	1122137
AY705952	181676
AY742226	294710
AY753654	296745
AY762980	297174
AY780907	314202
AY788950	391165
AY835420	115547
AY837748	336804
AY883937	311208
AY943950	317953
AY962414	153512
AYLG01000001	1245608
AYLI01000329	1412871
AYLJ01000015	1412872
AYLK01000292	1412873
AYLL01000252	1412874
AYMB01000008	1410574
AYOD01000070	1381123
AZHW01000045	1429438
AZNU01000004	1089548
AZSO01000079	1437444
AZXQ01000006	979226
AZYG01000049	926692
BA000021	36870
BA000028	221109
BA000039	197221
BA000045	251221
BAGZ01000028	1184607
BAHD01000131	1184609
BAUP01000039	1427503
BAYY01000283	1499966
BX294149	243090
BX571657	844
BX571873	243265
BX842650	264462
CAEN01000062	1034346
CAEU01000072	1033739
CAIT01000009	1185876
CAIZ01000036	1193181
CALK01000057	1211819
CAQP01000054	1286308
CAVN010000111	941824
CCXY01000234	717931
CDPL01000047	1104602
CETV01269389	408172
CP000013	290434
CP000030	234826
CP000033	272621
CP000061	322098
CP000097	316279
CP000102	339860
CP000103	323848
CP000113	246197
CP000116	292415
CP000127	323261
CP000141	246194
CP000142	338963
CP000155	349521
CP000157	314225
CP000158	228405
CP000236	205920
CP000237	222891
CP000245	365046
CP000252	56780
CP000254	323259
CP000264	290400
CP000267	338969
CP000269	375286
CP000282	203122
CP000284	265072
CP000300	259564
CP000323	335284
CP000359	319795
CP000360	204669
CP000386	266117
CP000411	203123
CP000448	335541
CP000449	394221
CP000453	187272
CP000471	156889
CP000477	349307
CP000478	335543
CP000481	351607
CP000510	357804
CP000512	397945
CP000529	365044
CP000542	391735
CP000559	410358
CP000592	436017
CP000678	420247
CP000682	399549
CP000771	381764
CP000780	456442
CP000786	456481
CP000804	383372
CP000816	453591
CP000817	444177
CP000828	329726
CP000830	398580
CP000853	350688
CP000859	96561
CP000860	477974
CP000875	316274
CP000879	403833
CP000884	398578
CP000885	357809
CP000909	324602
CP000922	491915
CP000930	498761
CP000934	498211
CP000968	374847
CP001014	444157
CP001016	395963
CP001032	452637
CP001034	457570
CP001055	445932
CP001071	349741
CP001085	515618
CP001087	177437
CP001089	398767
CP001098	373903
CP001099	517417
CP001100	517418
CP001102	452471
CP001108	290512
CP001133	388396
CP001146	309799
CP001147	289376
CP001154	557598
CP001157	322710
CP001158	561501
CP001185	484019
CP001251	515635
CP001276	309801
CP001279	598659
CP001280	395965
CP001281	85643
CP001322	218208
CP001338	521011
CP001366	416348
CP001391	66084
CP001397	592029
CP001472	240015
CP001616	595494
CP001618	471853
CP001619	471854
CP001629	525897
CP001631	525909
CP001650	655815
CP001674	582744
CP001678	582402
CP001682	469378
CP001686	478801
CP001699	485918
CP001700	479433
CP001707	523791
CP001708	525919
CP001712	313596
CP001721	521095
CP001734	485915
CP001739	526218
CP001742	666510
CP001743	504728
CP001744	521674
CP001751	488538
CP001769	504472
CP001785	429009
CP001791	439292
CP001792	59374
CP001802	526226
CP001804	502025
CP001818	525903
CP001823	479434
CP001849	553190
CP001854	469383
CP001859	591001
CP001896	572477
CP001899	589924
CP001928	716544
CP001931	638303
CP001939	633148
CP001940	589865
CP001959	526224
CP001964	446466
CP001965	580332
CP001968	522772
CP001994	547558
CP001997	572547
CP001998	583355
CP001999	572480
CP002017	562970
CP002046	216432
CP002049	649638
CP002051	591019
CP002056	666681
CP002059	551115
CP002069	644295
CP002084	552811
CP002085	644282
CP002098	583356
CP002100	572478
CP002101	679901
CP002102	633149
CP002105	574087
CP002117	679926
CP002130	696127
CP002157	313603
CP002159	395494
CP002171	580327
CP002175	572479
CP002221	608538
CP002243	903503
CP002273	53442
CP002278	523846
CP002305	649349
CP002343	710696
CP002345	694427
CP002347	768670
CP002349	643867
CP002351	688269
CP002353	575540
CP002361	670487
CP002364	577650
CP002379	930171
CP002390	546269
CP002396	573065
CP002444	648996
CP002449	596153
CP002455	865938
CP002467	401053
CP002528	983548
CP002535	933801
CP002542	755732
CP002543	868864
CP002545	762903
CP002582	642492
CP002590	999630
CP002606	760142
CP002628	700015
CP002629	880072
CP002663	1007105
CP002667	1005058
CP002683	667014
CP002685	3702
CP002691	760192
CP002737	880724
CP002738	857087
CP002740	698936
CP002745	1005048
CP002772	868131
CP002776	717773
CP002792	647113
CP002809	547145
CP002810	743718
CP002825	983544
CP002829	795359
CP002831	984262
CP002858	717231
CP002859	761193
CP002916	1054217
CP002955	880070
CP002959	869212
CP002961	929562
CP002987	931626
CP002988	756883
CP002999	886377
CP003011	578455
CP003051	765912
CP003059	1008459
CP003060	1085623
CP003083	1094980
CP003093	1045855
CP003096	580340
CP003108	768706
CP003153	640081
CP003154	765911
CP003156	926562
CP003171	511062
CP003178	700598
CP003230	385025
CP003249	751945
CP003255	717605
CP003257	443254
CP003273	767817
CP003274	679935
CP003280	746697
CP003281	866536
CP003321	768672
CP003326	1128398
CP003333	760154
CP003345	880071
CP003346	926556
CP003349	929556
CP003359	748449
CP003360	706587
CP003362	867904
CP003364	886293
CP003368	908937
CP003403	1151116
CP003418	945713
CP003423	1163730
CP003470	666685
CP003479	182217
CP003531	1184251
CP003532	660470
CP003535	1186051
CP003549	373994
CP003552	28072
CP003555	1036672
CP003590	118163
CP003591	1173025
CP003592	82654
CP003597	251229
CP003600	1173020
CP003610	1170562
CP003614	179408
CP003620	1173022
CP003632	1173027
CP003642	56107
CP003653	111780
CP003745	1171377
CP003842	1229908
CP003845	1004785
CP003869	1147129
CP003920	1249480
CP003940	292563
CP003944	13035
CP003945	65093
CP003985	1167006
CP003989	1255043
CP004061	1280938
CP004349	313598
CP004393	1208324
CP005957	1332188
CP005962	1333523
CP005963	1260251
CP005964	1321370
CP006019	1343739
CP006365	1348662
CP006577	1344584
CP006587	1356852
CP006604	1261131
CP006704	1392005
CP006745	1401328
CP006914	1394710
CP006915	1394711
CP006932	1427984
CP006939	1307761
CP007031	765910
CP007034	880074
CP007035	929713
CP007044	1441930
CP007051	694431
CP007053	794903
CP007128	861299
CP007139	661478
CP007155	1449976
CP007203	313624
CP007239	1416753
CP007243	1441628
CP007451	1168034
CP007490	529884
CP007501	1835254
CP007536	926571
CP007588	759620
CP008796	289377
CP008802	59505
CP008852	484770
CP008884	1217721
CP008889	1274
CP009075	1202531
CP009415	1541959
CP010424	1579370
CP010425	1579373
CP010426	1579378
CP011209	1619007
CP011210	1618372
CP011211	1619070
CP011212	1619077
CP011213	1618337
CP011268	1643353
CP011402	79604
CP011456	1647413
CP011509	48
CP012020	1662285
CP012070	1658671
CP012398	1702325
CP012871	1334193
CP012872	1729720
CP012908	92945
CP012930	611
CP012947	64187
CP012950	670
CP012959	714
CP012982	983594
CP013000	1428
CP013011	1273541
CP013046	615
CP013062	1735162
CP013068	121719
CP013119	511
CP013136	964
CP013178	644
CP013251	570277
CP013291	747
CP013292	145458
CP013481	93218
CP013940	1159491
CP014007	497725
CP014024	588
CP014028	85698
CP014340	1117645
CP014936	187452
CP015172	979
CP015243	376489
CP015363	74969
CP015404	1834207
CP015407	302912
CP015529	1033922
CP015963	476157
CP016809	1870820
CP017245	1899017
CP017820	665079
CP018155	1850252
CP018308	689
CP018345	1924286
CP018787	847
CP019448	641147
CP019493	1365886
CP019650	260552
CP020350	180957
CP020453	190893
CP021034	33014
CP021330	454601
CP021378	2003315
CP021383	1710
CP021896	2027919
CP022089	1930557
CP022205	29459
CP022488	565651
CP022810	13684
CP023121	3871
CP023398	298657
CP024028	536
CP025135	2058136
CP025537	669
CP025762	294750
CP025808	1389011
CP025990	2072503
CP027019	214888
CP027405	480
CP027654	4950
CP028367	2136172
CP028519	57480
CP030956	1080349
CP031788	520
CP033076	2479367
CR382124	28985
CR626927	272559
CT573213	326424
CU207211	204773
CU207366	411154
CU463952	866499
CX109058	39946
CXWL01021703	717931
CYSG01000002	1712645
D30774	525
DQ092924	283671
DQ113912	182057
DQ120728	1121479
DQ139408	339722
DQ176646	348582
DQ208689	348842
DQ208700	348818
DQ256281	136703
DQ256728	356302
DQ279347	188058
DQ302104	361055
DQ309326	392333
DQ310296	203449
DQ342315	366616
DQ367409	1122226
DQ404787	77133
DQ421387	376470
DQ423479	376730
DQ437681	117024
DQ440827	378405
DQ469576	1123397
DQ486493	1415780
DQ493955	242507
DQ640643	390641
DQ665916	392736
DQ789120	1235794
DQ798500	77133
DQ802475	77133
DQ811859	166587
DQ830982	396389
DQ841177	1121406
DQ854818	396317
DQ883810	1121028
DQ905837	77133
DQ915627	81569
DQ917760	404770
DQ991965	653733
EF014364	28583
EF026082	408753
EF028328	1260625
EF126149	582515
EF154515	1123257
EF158390	1121032
EF209903	433248
EF212897	422441
EF422408	1069448
EF422412	555088
EF436500	885272
EF469609	433924
EF495229	437507
EF510809	77133
EF564379	443218
EF574142	77133
EF574848	77133
EF587758	1121372
EF602468	77133
EF602469	77133
EF612765	180199
EF631616	446639
EF654087	450520
EF660466	1353276
EU008565	455360
EU021217	1046627
EU192364	76773
EU240001	29281
EU266889	213324
EU282460	33987
EU287245	77133
EU308479	493010
EU334678	176275
EU346912	1121116
EU362183	508888
EU430570	2026
EU583728	516704
EU592372	77133
EU603762	1043205
EU622580	521737
EU660038	5807
EU660053	526067
EU682683	529704
EU706350	533267
EU741687	540746
EU795196	542517
EU928746	555500
EU980631	521045
FJ157186	561176
FJ169991	562710
FJ182049	1235755
FJ182050	558169
FJ232451	571166
FJ264731	115547
FJ464983	579977
FJ481102	1403537
FJ527678	345309
FJ535257	77133
FJ607363	593499
FJ816018	691883
FJ820456	77133
FJ969717	681104
FM177901	549685
FM179942	569
FM242231	34034
FM242272	34034
FM883672	1189612
FM955655	77133
FM992695	573826
FN356976	638953
FN377720	641525
FN396961	1279009
FN434113	665029
FN543502	637910
FN562884	77133
FN564440	2880
FN645454	696125
FN665656	714067
FN666240	55505
FN822744	762550
FN869568	768066
FO117623	1146883
FO203355	935296
FO203503	651182
FP103042	661410
FP565575	671143
FP671120	9606
FP671138	2110
FP929003	330214
FP929041	717960
FP929047	657308
FP929061	649756
FPLS01004494	256318
FPLS01019909	256318
FPLS01040027	256318
FR690946	1003181
FR733667	592030
FR733717	1120956
FR746099	768065
FR798964	980563
FR839023	286730
FR865776	2762
FR872580	765952
FR872582	331113
GAMG01021469	97485
GP443271	0
GQ260079	131568
GQ262000	659495
GQ354896	166587
GQ354904	363504
GQ452854	2850
GQ452897	156588
GQ857549	1156986
GU118862	77133
GU196832	617001
GU205101	442
GU207882	41
GU234254	56763
GU395612	485
GU437651	77133
GU993264	34097
GX154060	0
HA782847	10116
HE574451	1119056
HE576754	1064592
HE582764	86958
HE590855	1454373
HE617160	1123863
HE681411	77133
HE717023	866895
HE796683	1166018
HE820726	1194679
HE956757	187303
HE964772	1201294
HE999757	1234679
HF680312	1298593
HF951689	1303518
HG315671	1347342
HG738867	1403831
HK241550	0
HK693344	0
HM050420	765699
HM069055	77133
HM187182	77133
HM366507	77133
HM448141	29281
HQ190545	77133
HQ225190	77133
HQ462537	174293
HQ588390	77133
HQ658853	1122224
HQ659556	4952
