accession	taxid
MFDF01000004	1797778
MFFP01000027	1817855
MFJY01000009	1798395
MFQT01000006	1798698
MFRI01000031	1821775
MFRJ01000085	1801604
MFRQ01000138	1801611
MFYO01000022	1801939
MGDN01000030	1802153
MGHT01000023	1802533
MGMK01000015	1797617
MGML01000116	1797618
MGMY01000058	1797631
MGTY01000053	1797927
MGUN01000010	1797942
MGUP01000120	1797944
MGUR01000062	1797946
MGVR01000037	1797972
MH463959	2003368
MH698806	54015
MHAV01000004	1798449
MHBF01000173	1798571
MHBI01000069	1798574
MHCP01000032	1802593
MHCQ01000043	1802594
MHDA01000022	1802604
MHDB01000041	1802605
MHDG01000024	1817751
MHEE01000002	1801702
MHFU01000153	1801835
MHIT01000023	1797685
MHIW01000010	1797688
MHIZ01000032	1797691
MHJT01000020	1798459
MHJW01000015	1798462
MHKE01000005	1798543
MHLE01000021	1798654
MHNQ01000001	1802120
MHTG01000018	1802435
MHTH01000005	1802436
MHTK01000006	1802439
MIDP01000022	1802431
MIDS01000601	1802434
MKKE01000074	1904969
MLAW01000094	1925591
MNUR01000070	1805132
MNVB01000064	1805235
MNWJ01000041	1805309
MNWM01000025	1805312
MNWN01000015	1805313
MNWT01000005	1805421
MNXB01000105	1805131
MNXI01000065	1973895
MNXM01000314	1805027
MNXN01000406	1805028
MNXR01000004	1805037
MNXS01000038	1805038
MNYD01000108	1805102
MNYS01000006	1805237
MNYV01000050	1805278
MNYX01000024	1805283
MNZB01000003	1805300
MNZI01000019	1805320
MNZJ01000031	1805324
MNZM01000024	1805340
MNZN01000008	1805375
MNZO01000023	1805376
MNZU01000010	1805402
MNZY01000038	1803514
MOYA01000001	1906157
MOYD01000062	1906167
MTOJ01000048	1935125
U17356	5914
U25627	39841
U45990	859314
U50168	73526
U53132	46952
U53824	287752
U64459	1376
U87101	867902
U87759	883078
U89300	73780
U93332	452652
U96412	13335
X14835	2269
X59733	8354
X60418	703
X70803	38271
X72377	35751
X74686	658
X76441	1409
X77215	903818
X79412	37624
X80994	518766
X81319	118005
X87278	1085
X89525	113608
X91032	446465
X91034	36740
X93021	550540
X99234	53245
Y13299	64323
Y15403	69279
Y15711	69966
Y16546	136492
Y17060	76259
Y17112	75684
Y17601	83767
Y17602	83765
Y18214	83661
Y19155	4881
Z21632	929563
Z29583	34011
Z36296	35519
Z96096	69223
